id;modelo;preco
1;Fiat Strada;43115.00
2;Fiat Argo;47660.00 
3;Fiat Mobi;32102.00 
4;Jeep Compass;34950.00 
5;Hyundai HB20;49302.00 
6;JeepRenegade;36661.00 
7;Volkswagen T-Cross;38182.00 
8;Fiat Toro;57733.00 
9;Hyundai Creta;55998.00 
10;Chevrolet S10;51035.00 
11;Toyota Corolla Cross;34544.00 
12;Toyota Hilux;53937.00 
13;Toyota Corolla;55022.00 
14;Volkswagen Gol;48253.00 
15;Honda HR-V;53438.00 
16;Renault Kwid;31810.00 
17;Volkswagen Nivus;35104.00 
18;Hyundai HB20S;31855.00 
19;FordRanger;48927.00 
20;Fiat Uno;38111.00 
21;Fiat Cronos;36515.00 
22;Citroï¿½n C4 Cactus;53654.00 
23;Toyota Yaris Hatchback;55869.00 
24;Volkswagen Voyage;30954.00 
25;Honda Civic;30871.00 
26;Volkswagen Saveiro;32306.00 
27;Caoa Chery Tiggo 5x;30069.00 
28;Volkswagen Virtus;40689.00 
29;Fiat Grand Siena;33469.00 
30;Caoa Chery Tiggo 8;48481.00 
31;Chevrolet Tracker;30648.00 
32;Peugeot 208;46934.00 
33;Toyota SW4;54252.00 
34;Nissan Frontier;32596.00 
35;Honda WR-V;35139.00 
36;Volkswagen Taos;47546.00 
37;Mitsubishi L200;57049.00 
38;Renault Oroch;48756.00 
39;Toyota Yaris Sedan;43077.00 
40;Renault Duster;52641.00 
