id;descricao;colaborador;executor;abertura;encerramento
1;Troca da torneira da pia da cozinha;201;207;2023-03-07 08:23:00;2023-03-08 08:23:00
2;Instalação do batente da porta do banheiro masculino;201;205;2023-03-07 09:20:00;2023-03-08 09:20:00
3;Instalação do batente da porta do banheiro feminino;201;205;2023-03-07 10:19:00;2023-03-08 10:19:00
4;Troca da torneira da pia do banheiro masculino;202;207;2023-03-07 11:22:00;2023-03-08 11:20:00
5;Instalação de lâmpada de emergência na recepção;202;204;2023-03-07 12:23:00;2023-03-08 12:21:00
6;Instalação de lâmpada de emergência no corredor;202;204;2023-03-07 13:24:00;2023-03-08 13:22:00
7;Instalação de tomada 220v na administração;203;206;2023-03-08 08:23:00;2023-03-09 08:23:00
8;Pintura das faixas da garagem;201;203;2023-03-08 09:20:00;2023-03-09 09:20:00
9;Pintura do poste da garagem;204;203;2023-03-08 10:19:00;2023-03-09 10:19:00
10;Instalação de refletores no estacionamento;205;206;2023-03-08 11:20:00;2023-03-09 11:23:00
11;Construção de uma porta adicional na sala da diretoria;202;203;2023-03-08 12:21:00;2023-03-09 12:21:00
12;Instalação de tomadas na sala de descanso;210;206;2023-03-08 13:22:00;2023-03-09 13:22:00
13;Troca da torneira da pia do refeitório;203;207;2023-03-09 08:23:00;2023-03-10 08:23:00
14;Instalação do batente da porta da cozinha;204;205;2023-03-09 09:20:00;2023-03-10 09:20:00
15;Instalação do batente da porta do banheiro feminino;203;205;2023-03-09 10:19:00;2023-03-10 10:19:00
16;Troca da torneira da pia do banheiro feminino;203;207;2023-03-09 11:23:00;2023-03-10 11:23:00
17;Instalação de lâmpada de emergência na recepção;201;206;2023-03-09 12:21:00;2023-03-10 12:25:00
18;Instalação de lâmpada de emergência no corredor;201;204;2023-03-09 13:22:00;2023-03-10 13:26:00
19;Instalação de tomada 220v na administração;201;206;2023-03-10 08:23:00;2023-03-10 08:23:00
20;Limpeza pós obra na sala de reuniões;202;209;2023-03-10 09:20:00;2023-03-10 09:20:00
21;Pintura do poste da garagem externa;202;203;2023-03-10 10:19:00;2023-03-10 10:19:00
22;Instalação de refletores no estacionamento;202;206;2023-03-10 11:23:00;2023-03-10 11:23:00
23;Construção de uma porta adicional na sala da contabilidade;210;203;2023-03-10 12:25:00;2023-03-10 12:25:00
24;Instalação de tomadas na sala de reunição;210;206;2023-03-10 13:26:00;2023-03-10 13:26:00
25;Troca da torneira da pia da cozinha;201;207;2023-04-07 08:23:00;2023-04-08 08:23:00
26;Instalação do batente da porta do banheiro masculino;201;205;2023-04-07 09:20:00;2023-04-08 09:20:00
27;Instalação do batente da porta do banheiro feminino;201;205;2023-04-07 10:19:00;2023-04-08 10:19:00
28;Troca da torneira da pia do banheiro masculino;202;207;2023-04-07 11:22:00;2023-04-08 11:20:00
29;Instalação de lâmpada de emergência na recepção;202;204;2023-04-07 12:23:00;2023-04-08 12:21:00
30;Instalação de lâmpada de emergência no corredor;202;204;2023-04-07 13:24:00;2023-04-08 13:22:00
31;Instalação de tomada 220v na administração;203;206;2023-04-08 08:23:00;2023-04-09 08:23:00
32;Pintura das faixas da garagem;201;203;2023-04-08 09:20:00;2023-04-09 09:20:00
33;Pintura do poste da garagem;204;203;2023-04-08 10:19:00;2023-04-09 10:19:00
34;Instalação de refletores no estacionamento;205;206;2023-04-08 11:20:00;2023-04-09 11:23:00
35;Construção de uma porta adicional na sala da diretoria;202;203;2023-04-08 12:21:00;2023-04-09 12:21:00
36;Instalação de tomadas na sala de descanso;210;206;2023-04-08 13:22:00;2023-04-09 13:22:00
37;Troca da torneira da pia do refeitório;203;207;2023-04-09 08:23:00;2023-04-10 08:23:00
38;Instalação do batente da porta da cozinha;204;205;2023-04-09 09:20:00;2023-04-10 09:20:00
39;Instalação do batente da porta do banheiro feminino;203;205;2023-04-09 10:19:00;2023-04-10 10:19:00
40;Troca da torneira da pia do banheiro feminino;203;207;2023-04-09 11:23:00;2023-04-10 11:23:00
41;Instalação de lâmpada de emergência na recepção;201;206;2023-04-09 12:21:00;2023-04-10 12:25:00
42;Instalação de lâmpada de emergência no corredor;201;204;2023-04-09 13:22:00;2023-04-10 13:26:00
43;Instalação de tomada 220v na administração;201;206;2023-04-10 08:23:00;
44;Limpeza pós obra na sala de reuniões;202;209;2023-04-10 09:20:00;
45;Pintura do poste da garagem externa;202;203;2023-04-10 10:19:00;
46;Instalação de refletores no estacionamento;202;206;2023-04-10 11:23:00;
47;Construção de uma porta adicional na sala da contabilidade;210;203;2023-04-10 12:25:00;
48;Instalação de tomadas na sala de reunição;210;206;2023-04-10 13:26:00;